y,
  27939.38,
  27923.03,
  27940.49,
  27943.63,
  27920.16,
  27928.61,
  27937.5,
  27918.82,
  27896.68,
  27899.46,
  27904.1,
  27882.93,
  27901.86,
  27898.08,
  27925.2,
  27895.83,
  27903.55,
  27885.49,
  27886.88,
  27871.18,
  27873.18,
  27863.68,
  27849.43,
  27865.37,
  27866.04,
  27845.51,
  27846.82,
  27836.52,
  27844.77,
  27864.22,
  27880.16,
  27877.57,
  27876.35,
  27864.22,
  27845.33,
  27819.53,
  27790.04,
  27791.08,
  27772.76,
  27791.21,
  27795.8,
  27774.88,
  27779.53,
  27797.27,
  27824.61,
  27845.26,
  27843.94,
  27832.29,
  27808.47,
  27803.27,
  27785.08,
  27805.19,
  27807.19,
  27799,
  27778.52,
  27753.54,
  27749.18,
  27745.02,
  27764.99,
  27858.64,
  27840.46,
  27818.7,
  27846.43,
  27840.78,
  27852.37,
  27894.33,
  27896,
  27909.94,
  27907.44,
  27915.59,
  27979.86,
  27977.39,
  27974.99,
  28019.49,
  28065.41,
  28034.47,
  27985,
  27930.98,
  27944.75,
  27933.95,
  27952.66,
  27957.02,
  27943.98,
  27935.58,
  27939.25,
  27912.78,
  27899.99,
  27933.05,
  27977.11,
  27982.11,
  27975.96,
  27990.46,
  27925.25,
  27930.18,
  27916.68,
  27905.63,
  27879.92,
  27900.1,
  27867.22,
  27879.3,
  27882.05,
  27885.49,
  27912.98,
  27893.9,
  27867.69,
  27866.87,
  27876.81,
  27895.81,
  27888.39,
  27907.02,
  27882.33,
  27874.34,
  27864.54,
  27869.36,
  27882.06,
  27884.53,
  27889.81,
  27893.69,
  27925.07,
  27910.64,
  27880.01,
  27893.49,
  27860,
  27855.95,
  27837.61,
  27847.68,
  27835.03,
  27860,
  27837.23,
  27848.29,
  27845.39,
  27853.99,
  27880.65,
  27865.5,
  27884.62,
  27906.42,
  27906.78,
  27892.74,
  27896.33,
  27883.03,
  27891.7,
  27867.17,
  27854.72,
  27858.57,
  27886.62,
  27905.79,
  27891.03,
  27869.11,
  27900.38,
  27892.26,
  27894.58,
  27883.43,
  27916.66,
  27886.18,
  27860.23,
  27858.98,
  27859.14,
  27886.26,
  27874.57,
  27872.99,
  27846.43,
  27819.27,
  27842.22,
  27846.46,
  27842.76,
  27849.7,
  27866.33,
  27878.58,
  27877.55,
  27878.1,
  27882.76,
  27874.42,
  27863.72,
  27859.23,
  27841.11,
  27886.56,
  27862.75,
  27878.06,
  27890.06,
  27891.53,
  27896.02,
  27905.6,
  27903.09,
  27888.8,
  27860.46,
  27825.3,
  27812.43,
  27766.66,
  27807.39,
  27824.08,
  27798.22,
  27780.2,
  27813.24,
  27794.74,
  27827.38,
  27812.56,
  27793.36,
  27785.03,
  27796.9,
  27783.4,
  27761.22,
  27691.67,
  27595.35,
  27451.34,
  27462,
  27414.22,
  27421.37,
  27322.47,
  27402.71,
  27385.06,
  27380.92,
  27421.98,
  27436.59,
  27475.21,
  27490.35,
  27545.04,
  27564.26,
  27534.73,
  27546.67,
  27559.56,
  27557.4,
  27523.87,
  27533.72,
  27520.41,
  27517.41,
  27514.95,
  27505.38,
  27478.48,
  27472.51,
  27510.66,
  27466.35,
  27471.26,
  27478.33,
  27520.01,
  27512.03,
  27515.45,
  27491.38,
  27509.07,
  27527.7,
  27500.82,
  27470.01,
  27480,
  27488.88,
  27473.81,
  27464.37,
  27452.89,
  27449.29,
  27394.01,
  27381.94,
  27425.26,
  27406.51,
  27374.32,
  27370.77,
  27384.54,
  27378.97,
  27388.22,
  27388.25,
  27433.42,
  27387.83,
  27341.54,
  27364.37,
  27382.39,
  27404.99,
  27428.21,
  27447.73,
  27459.18,
  27468.7,
  27498.16,
  27481.64,
  27477.89,
  27452.5,
  27467.79,
  27476,
  27477.78,
  27465.39,
  27439.63,
  27420.82,
  27427.81,
  27428.57,
  27400.62,
  27380.01,
  27401.66,
  27419.6,
  27388.44,
  27380.07,
  27370.02,
  27368.6,
  27347.19,
  27332.9,
  27302.26,
  27379.75,
  27388.06,
  27400.47,
  27406.54,
  27381.74,
  27366.25,
  27366.24,
  27315.44,
  27313.68,
  27304.86,
  27363.65,
  27445.9,
  27460.86,
  27446.04,
  27498.01,
  27478.36,
  27481.05,
